Name,DOB,Gender,Aadhar_No,Father_Name,Address1,Address2,Address3,Address4,Address5
Mogaya Munshi,14/03/1994,Male,4907 6840 937,Kaveri Mall,"34/1,2nd & 3rd Floor","36th Cross,6th Main","4th Block,Jayanagar","Bangalore,530406",
Harisha Sandal,27/02/1988,Female,5770 3271 2127,Ajit Gera,"183/28,2nd Main Road","36th B Cross,7th Block","Jayanagar,Bangalore",530407,
Jarita Sidhu,14/10/1993,Male,7251 182 357,Jiva Sarna,"60/2,Sajjan Rao Circle","V V Puram,Basavanagudi","Bangalore,530408",,
Mani Koshy,7/5/2020,Male,4719 9733 2427  ,Abha Garde,"12,Ground Floor","R V Road,Near Southend Metro Station","Basavanagudi,Bangalore",530409,
Koumari Desai,8/10/2003,Male,1965 8145 7870,Gowri Chaudhari,"49,South End Road","Nagasandra Circle,Basavanagudi","Bangalore,530410",,
Ila Mahal,8/4/2017,Male,5531 6627 3485,Kessavamohane Mani,"91/1,Ganesh Mahal Building","Sirsi Road,Chamarajpet","Basavanagudi,Bangalore",530411,
Ilango Kala,13/08/2012,Female,2079 9459 4087,Kumaren Sarma,"Jain Temple Street,V.V.Puram","Basavanagudi,Bangalore",530412,,
Kalyan Meka,4/8/2009,Male,9788 3689 7999,Anandi Ratti,"27th Cross Rd,Banashankari Stage II","Banashankari,Bangalore",530413,,
Malini Kalita,27/01/2012,Female,1979 6092 1630  ,Niraj Dugal,"21,National High School Road","VV Puram,Basavanagudi","Bangalore,530414",,
Cooldeepac Bedi,22/02/1976,Male,6466 7054 6193  ,Godavari Aurora,"11/3,Old Market Road","V V Puram,Basavanagudi","Bangalore,530415",,
Divya Shukla,13/10/1978,Male,6635 5336 9010,Chetan Sahota,"22nd Cross,22nd Main Road","2nd Stage,Near BDA Complex","Banashankari,Bangalore",530416,
Lakshman Maharaj,30/11/2015,Male,9405 3880 9728,Murugan Amble,"198,2nd Block","3rd Stage,Outer Ring Road","Banashankari,Bangalore",530417,
Lata Chaudhari,16/01/1976,Male,5921 7436 6403  ,Agni Sangha,"63,1st Floor","Kanakapura Road,Basavanagudi","Bangalore,530418",,
Madhurya Parsa,3/9/2001,Male,7399 6375 804,Dourgavati Varty,"27,27th Cross","1st Floor,Kadamba Complex","2nd Stage,Banashankari","Bangalore,530419",
Jaidev Agate,22/05/2012,Female,9587 9568 1891,Madhukar Rama,"1111,Near KIMS","30th Main Road,Siddanna Layout","Stage 2,Banashankari","Bangalore,530420",
Drishti Chakrabarti,12/3/1991,Female,0282 6751 7873  ,Dipti Sodhi,"Dayanandasagar College Road,Teachers Colony","Kumaraswamy Layout,Bangalore",530421,,
Maninder Warrior,3/8/2002,Male,133 2090 2280,Nataraj Lad,"D/25,2nd Main","260 Mysore Road Tollgate,Opposite Gopalan Mall","Mysore Road,Bangalore",530422,
Govinda Rai,25/12/1974,Female,2359 3513 8749  ,Dayaram Boase,"75,21st Main Road","Siddanna Layout,2nd Stage","Banashankari,Bangalore",530423,
Devayanne Bal,28/02/2005,Male,9519 8896 4510  ,Geeta Om,"272,14th Cross Road","Yediyur,Jayanagar","Bangalore,530424",,
Lochan Som,17/05/1974,Female,4591 1797 7845,Narinder Jha,"15,1st Main","Kariyappa Road,Basavanagudi","Bangalore,530425",,
Damodar Varughese,17/08/1990,Male,8195 2967 0400  ,Carpanin Kota,"742,50 Feet Rd","Raghavendra Block,Banashankari 3rd Stage","Banashankari,Bangalore",530426,
Kamaradj Panchal,7/5/1979,Male,171 4251 583,Duleep Nayak,"50/51,8th F Main","3rd Block,Jayanagar","Bangalore,530427",,
Damodara Ganguly,2/10/1988,Male,5669 3869 3796,Neela Khalsa,"7th Main Road,4th Block","Jayanagar East,Bangalore",530428,,
Chanemougam Shan,10/3/1973,Male,7901 1311 115,Madhur Trivedi,"1424,14th Main Road","1st Stage,Kumaraswamy Layout","Bangalore,530429",,
Mira Krishnan,9/3/2006,Male,96 8562 950,Nandini Kohli,"186,24th Cross","2nd Stage,Banashankari","Bangalore,530430",,
Nikhil Boase,11/1/2018,Female,0862 8644 7280  ,Abhay Desai,"16,Sri Banashankri Arcade","Opposite GSI Building,Kumaraswamy Layout","Bangalore,530431",,
Djayssen Basak,25/02/1972,Female,1888 8287 781,Gauri Nanda,"52,Dayanad Sagar College Road","Teachers Colony,Kumaraswamy Layout","Bangalore,530432",,
Lekha Sarma,7/10/1999,Male,2799 6768 7828,Jagannatha Swamy,"57,Kadirenahalli Road","Banashankari,Bangalore",530433,,
Ajith Nagy,23/04/1997,Male,9788 0747 7420  ,Chetan Jha,"2465,24th Cross","2nd Stage,Banashankari","Bangalore,530434",,
Lakshmana Lad,13/06/1977,Male,7145 5245 7288,Gopi Narasimhan,"8,Yarab Nagar Main Road","2nd Stage,Banashankari","Bangalore,530435",,
Harisha Sidhu,3/12/1999,Male,6838 6004 8653,Bhaskar Dhingra,"142/1,Surveyor Street","Gandhi Bazaar,Basavanagudi","Bangalore,530436",,
Anupama Kant,19/07/2017,Male,48 4390 9641,Chitra Muni,"32,22nd Cross","22nd Main,2nd Stage","Near BDA complex,Banashankari","Bangalore,530437",
Lutchmayah Kashyap,2/1/1977,Female,9580 708 9830,Adhik Parikh,"83/5,4th Cross. 50 Feet Road","1st Stage,Kumaraswamy Layout","Bangalore,530438",,
Kali Gulati,10/2/2019,Male,5719 0256 8962  ,Chander Shere,"615,Janardhan Mansion","32nd D Cross Road,10th C Main Road","4th Block,Jayanagar","Bangalore,530439",
Jaya Chatterjee,13/07/1993,Female,8361 9047 2245,Gobind Parsa,"1,Krishna Rao Road","Basavanagudi,Bangalore",530440,,
Dipti Palla,8/7/2010,Female,3628 1879 6638,Kirtida Lata,"476,2nd Floor","9th Cross,Avalahalli","Banashankari,Bengaluru",530441,
Chatrapatty Rama,20/04/1993,Male,0494 2448 1316  ,Darshan Kar,"13,4th Cross Road","NR Colony,Basavanagudi","Bengaluru,530442",,
Brijesha Madan,11/9/1990,Female,9230 297 5438,Chandra-Kanta Konda,"382/71/4,11th Main","3rd Block,Jayanagar","Bangalore,530443",,
Nikhila Bahl,19/11/1970,Male,5779 5923 4126  ,Mohini Sawhney,"84/1,South End Road","Basavanagudi,Bangalore",530444,,
Kailash Mukhopadhyay,11/12/2016,Female,711 9179 292,Dhananjay Chander,"11,12","80 Feet Road,Behind Reliance Fresh","Banashankri,Bangalore",530445,
Damayanti Salvi,2/2/1992,Male,4492 661 8289,Arya Purohit,"Kabirmutt Road,Gavipuram Extension","Basavanagudi,Bangalore",530446,,
Mahavira Batta,28/01/2013,Female,8921 7713 7480,Harishankar Gade,"117,Govindadappa Road","Gandhi Bazar,Basavangudi","Bangalore,530447",,
Kama Dhawan,24/05/1996,Female,8016 8587 1827,Abhilasha Sur,"Near Reliance Trends,1st Cross","3rd Phase,Banashankari","Bangalore,530448",,
Inderjit Bandi,1/9/2001,Male,2474 6944 8171  ,Kamala Baria,"38/A,Mount Joy Road","Hanumanthnagar,Behind BMS College","Banashankari,Bangalore",530449,
Devdas Nagar,30/12/1971,Male,8321 6467 9418,Damodara Majumdar,"11,Canara Bank Colony","Uttarahalli,Bangalore",530450,,
Anil Saha,27/10/1997,Male,8572 8699 8144  ,Bhavana Palla,"3/1,Bugle Rock Road","Gandhi Bazaar,Basavanagudi","Bangalore,530451",,
Jayendra Agarwal,27/11/1982,Female,1843 3399 7665,Moryl Iyer,"1832,14th Cross Road","2nd Stage,Bendre Nagar","Kumaraswamy Layout,Bangalore",530452,
Devdan Chakraborty,25/05/1971,Male,9773 5180 675,Gopika Morar,"Near Metro Station R.V.Road,Basavanagudi","Bangalore,530453",,,
Manjusha Mandal,10/12/1988,Female,760 5600 4810,Devaraja Brahmbhatt,"14/1 5 th Main 2nd Cross,Near BMS Hostel","Basavanagudi,Bangalore",530454,,
Kausalya Garde,4/6/1992,Male,7247 2319 684,Kanti Jhaveri,"139,72nd Cross","Kumaraswamy Layout,Bangalore",530455,,
Narayanin Lalla,23/05/2016,Male,2606 528 2598,Nandita Shetty,"65,Parvati Bhavan","Appu Rao Road,Chamaraj Pet","Chamarajpet,Basavanagudi","Bangalore,530456",
Kadrivel Swamy,29/08/2017,Male,8210 1118 6616,Chetan Vaidya,"32,Khaleel Plaza","Opposite Vijaya Collage,RV Road","Basavanagudi,Bangalore",530457,
Govinden Pillai,27/10/1985,Female,5563 5588 9415,Nataraj Pandit,"22,Second Main Road","7th Block,Jayanagar","Bangalore,530458",,
Harisha Doshi,7/9/2001,Female,7363 5722 7410,Jagdish Sandhu,"16,Lalitha Enterprises","Kadirenahalli Main,Bendre Nagar","Kumaraswamy Layout,Bangalore",530459,
Kessavaperoumal Loyal,7/3/1975,Female,4366 0032 6437  ,Anupam Hans,"1/72,27th Cross","Opposite To Janatha Bazar,4th Block","Jayanagar,Bangalore",530460,
Asha Barman,23/12/2014,Male,1560 4423 6483,Ankur Bhakta,"28/12/2,3rd Main Road","Mountjoy Extension,Hanumantanagar","Banashankari,Bengaluru",530461,
Neela Prashad,14/01/1998,Male,2912 5576 6587  ,Aniruddha Sachdeva,"17,Near BDA Complex","25th Cross Road,21st Main","2nd Stage,Banashankari","Bangalore,530462",
Aishwarya Mukherjee,25/10/2008,Female,1953 9222 6202,Mohini Sahota,"559,32nd Cross","10th A Main,4th Block","Jayanagar,Bangalore",530463,
Ladha Minhas,14/10/2005,Female,672 9872 1992,Dev Butala,"295,Sri Krishna Complex","10th Main,3rd Block","Jayanagar,Bangalore",530464,
Nisha Dugal,15/04/1970,Male,9842 3915 6745,Kumara Sabharwal,"12,32nd Cross","7th Block,Jayanagar","Bangalore,530465",,
Lila Krishnamurthy,14/02/1992,Male,8906 525 2015,Karna Suri,"92/1,Next to Vodafone Store","Gandhi Bazar Main Road,Basavanagudi","Bangalore,530466",,
Chandrakanta Warrior,29/04/1989,Female,25 199 4331,Arya Mallick,"16,5th B Main","KR Road,Jayanagar","Bangalore,530467",,
Mandeep Saraf,22/12/1976,Male,8086 1524 5844  ,Anand Kar,"Near National College,7th Block","Jayanagar,Bangalore",530468,,
Anandha Reddy,11/1/2002,Female,6400 1451 1536  ,Maninder Ganguly,"459/30,30th Cross","4th Block,Jayanagar","Bangalore,530469",,
Divyesh Goda,6/4/2009,Male,6821 964 547,Jayanta Dara,"998/20,Poornima Complex","First Floor,Service Road","R.P.C. Layout,Vijay Nagar","Bangalore,530470",
Devaki Ram,21/08/2008,Male,2786 6646 4882,Ilanila Hans,"2/2,Pattalamma Gudi Street","Armugam Circle,Near South End Circle","Basavanagudi,Bangalore",530471,
Carliaye Peri,22/08/2011,Male,6957 6511 6585,Aditya Grewal,"539/49,9th Cross","Kanakpura Road,7th Block","Jayanagar,Bangalore",530472,
Esha Pant,29/03/2009,Female,3214 5774 5143,Devika Oommen,"31,2nd Cross","1st Stage,Padmanabh Nagar","Kumaraswamy Layout,Bangalore",530473,
Kirtida Sampath,24/06/1983,Female,2607 4483 4774,Madhav Grewal,"32,22nd Cross","22nd Main,2nd Stage","Near BDA Complex,Banashankari","Bangalore,530474",
Ilanila Kanda,25/08/1992,Female,3136 0986 0343  ,Inderjit Jain,"115,4th Main","4th Stage,Thyagarajanagar","Near,Basavanagudi","Bangalore,530475",
Neelam Anand,12/9/1988,Female,2460 8229 5666,Appassamy Shenoy,"4 & 5,27th Cross","4th Block,Jayanagar","Bangalore,530476",,
Adhik Saini,31/03/1995,Female,8074 3134 471,Kumaren Nair,"222,100 Feet Road","Near Kathriguppe Signal,Opposite Udbav Hospital","6th Block,3rd Stage","Banashankari,Bangalore",53047
Ankur Sur,1/1/2002,Female,1716 8595 7617,Amit Choudhary,"101,Manjunatha Complex","Near BDA Complex,22nd Main","2nd Stage,Banashankari","Bangalore,530478",
Kumar Kakar,17/02/2001,Male,5388 249 7818,Kadrivel Gokhale,"44/1,Bull Temple Road","Basavanagudi,Bangalore",530479,,
Kesaven Nori,22/05/1979,Male,3205 4158 29,Devadas Parmer,"2,Chikkalsandra","Uttarahalli Main Road,Uttarahalli","Bangalore,530480",,
Kishan Grewal,10/5/2014,Female,6451 1526 3700  ,Chandi Ben,"9A Main Road,3rd Block","Jayanagar,Bangalore",530481,,
Dayanand Munshi,27/05/2011,Male,6123 749 8401,Dipaka Pal,"6,2nd Main","3rd Cross,Chamrajpet","Basavanagudi,Bangalore",530482,
Manju Mannan,17/04/2006,Male,408 9023 6528,Lal Mehta,"196,8th E Main","27th Cross,3rd Block","Suraj Plaza,Jayanagar","Bangalore,530483",
Candravali Chokshi,28/03/1980,Male,5231 5667 6445,Chiranjivi Zachariah,"54,Bull Temple Road","Basavanagudi,Bangalore",530484,,
Mira Kapadia,16/06/1994,Female,7569 4051 2223,Kishen Dhar,"487,80 Feet Road","Bank Colony,1st Stage","Banashankari,Bangalore",530485,
Ilango Minhas,18/09/1982,Female,949 9218 813,Gotama Padmanabhan,"525/2,Opposite Lacasa","10th Main,33rd Cross","4th Block,Jayanagar","Bangalore,530486",
Nil Nadkarni,16/11/2019,Female,8866 1379 8049,Asha Balasubramanian,"162,Kathreguppe Cross Road","3rd Stage,Banashankari","Bangalore,530487",,
Dalini Pal,28/04/1990,Male,6694 9492 8926  ,Chandraradj Johal,"30,Surveyor Street","DVG Road,Basavanagudi","Bangalore,530488",,
Narendra Swaminathan,14/12/2000,Female,5633 3129 2014,Om Mani,"46,80 Feet Road","3rd Stage,Banashankari","Bangalore,530489",,
Ishvara Garde,27/04/1980,Male,7967 6239 7098,Drishti Sen,"241,100 Feet Road","Opposite Eshwari Theater,3rd stage","Banashankari,Bangalore",530490,
Kirti Dar,18/05/1985,Male,2455 477 7616,Anuja Maharaj,"173,Shop 4","Ground Floor,Teachers Colony","First stage,D.S.I College Main Road","Kumaraswamy Layout,Bangalore",53049
Anantha Varkey,12/7/1997,Female,7302 6911 2314,Kessavamohane Tara,"642,14th Main","Kumaraswamy Layout,Bangalore",530492,,
Maninder Bhalla,16/08/1998,Male,3053 7320 7156,Ananth Bajaj,"1061,Gowrisutha","50 Feet Rd,1st Stage","Kumaraswamy Layout,Bangalore",530493,
Kishori Taneja,18/10/1978,Female,1310 7246 7764  ,Kadrivel Dhillon,"615/1,Janardhan Mansion","10th C Main Road,32nd D Road","4th block,Jayanagar","Bangalore,530494",
Kasi Vora,18/07/1995,Female,8174 2709 3851  ,Lallida Sura,"201,4th Main Road","Next to National Lassi Bar,Chamrajapet","Basavanagudi,Bangalore",530495,
Gitika Bhardwaj,31/08/2016,Male,5272 698 2223,Kali Ramanathan,"1771,14th Main","1st Stage,Kumaraswamy Layout","Bangalore,530496",,
Appassamy Prabhakar,27/08/2019,Female,5413 9926 3071,Arya Munshi,"75,Kanakapura Road","Vasavi Circle,V.V Puram","Basavanagudi,Bangalore",530497,
Adhita Dalal,22/06/2005,Female,2966 3416 5482  ,Lutchmayah Venkataraman,"6/1,Anjaneya Nagar","100ft Ring Road,Banashankari 3rd Stage","Banashankari,Bangalore",530498,
Ladha Lall,26/08/1989,Female,3281 207 5431,Kausalya Tara,"1080,Near Niligiris","Kumaraswamy Layout,Bangalore",530499,,
Gopal Mohanty,22/04/1975,Male,8461 7839 5025,Mohandas Varghese,"1296 1st Block,6th Stage","South Circle Banashankari,Bangalore",530500,,
Manisha Zacharia,29/01/1973,Female,4090 3408 0105  ,Kanti Doshi,"1554,11th Cross","1st Stage,Kumarswamy Layout","Near Sagar Hospital,Kumaraswamy Layout","Bangalore,530501",
Damayandi Kala,26/06/1973,Male,1892 2609 7677,Kalyana De,"Sri Ganesh Fast Food. Opposite Goli,Dayanand Sagar College Road","Kumaraswamy Layout,Bangalore",530502,,
Djagarajen Dhar,9/9/1983,Male,8306 1404 8554,Indra Kant,"Fresh Menu,Stavyah Arcade #10","3rd floor 9th Main,Opp to Daily Bread","Yarab Nagar Main Rd,Banashankari Stage II","Bengaluru- 560070.,530503",
Indrajit Sem,20/12/2010,Female,8720 5784 6200,Dayanand Narayanan,"3rd Main Rd,Arehalli","Hosakerehalli,Uttarahalli","Bangalore,530504",,
Arundhati Divan,19/05/2014,Male,4797 842 8916,Hemachandra Bhatia,"954,2nd Floor","24th Main,2nd Phase","Opposite LIC Building,JP Nagar","Bangalore,530505",
Nitin Tandon,12/1/1994,Female,8401 1530 3442  ,Dinesh Joshi,"85,7th Main Road","Nandakumar Layout,Ramanjaneya Nagar","Banashankari,Bangalore",530506,
Mira Vyas,24/11/1982,Female,1761 2349 1000,Kanilja Soni,"30,1st Main Road","Havish Nilaya,Samruddhi Enclave","Kumaraswamy Layout,Bangalore",530507,
Carma Kumar,25/02/2014,Female,8636 1800 5929  ,Damayanti Garde,"728,24th Cross","Opposite SBI Bank,1st Stage","Kumaraswamy Layout,Bangalore",530508,
Neha Kari,6/2/2004,Male,3841 4779 1110,Kashi Balakrishnan,"616/2,31st Cross","10th A Main Road,4th Block","Jayanagar,Bangalore",530509,
Devi Sen,15/09/2007,Male,7933 608 7961,Kishor Kapoor,"734,Marenahalli Rd","8th Block,Shakambari Nagar","1st Phase,Jayanagar","Bangalore,530510",
Devayanne Kunda,18/11/1972,Female,9905 6265 9468,Aditya Narayanan,"24,8th C Main","Behind Post Office,4th Block","Jayanagar,Bangalore",530511,
Manickam Bandi,14/06/2017,Male,9752 303 1872,Anandha Nori,"25/4,7th Block K.R Road","8TH Cross Opposite,HDFC Bank","Jayanagar,Bangalore",530512,
Kapila Randhawa,12/12/1976,Female,4305 2558 510,Kishor Rattan,"2,Medical College East Main Road","Kalasipalyam,Behind Bangalore Medical College","City Market,Bangalore",530513,
Kalyan Mathur,22/04/1997,Female,7718 7979 3661  ,Buddha Sahota,"215,2nd Main","Thygarajanagar,Basavanagudi","Bangalore,530514",,
Esha Sharaf,22/03/1977,Male,6680 5760 1677,Lalitha Jha,"3313,Vishwabharati Layout","80 Feet Road,Girinagar","4th Phase,Stage 3","Banashankari,Bangalore",53051
Anjali Matthai,5/3/2020,Male,852 4864 4595,Lallida Edwin,"32/2,DVG Road","Basavanagudi,Karnataka","Bangalore,530516",,
Jayant Singhal,24/05/1983,Male,543 1025 4266,Kalyana Chowdhury,"236,18th cross","2nd Main Road,Bapujinagar","Mysore Road,Bangalore",530517,
Kistna Sarna,7/8/1984,Female,5119 7751 4728,Mounoussamy Mohan,"3/1,Bugle Rock Road","Gandhi Bazaar,Basavanagudi",530518,,
Brijesh Date,11/8/2010,Male,5087 9112 2209,Lila Pillai,"99,3rd Main Road","Hanumanthnagar,Banashankari","Bangalore,530519",,
Jyotsna Mehrotra,15/04/1999,Female,3339 403 1085,Lavanya Srinivasan,"Shop 9,East Anjanaiya Temple Street","Gandhi Bazar,Basavanagudi","Bangalore,530520",,
Indu Deshpande,25/01/1987,Female,9872 8037 0416  ,Lalit Zachariah,"5 Zaina Towers,9th Main Yarab Nagar Main Road Banashankari","Bangalore,530521",,,
Aditya Dhar,23/12/2011,Female,7540 9228 4200  ,Diti Char,"Shop 97,22nd Main Road","Near Banashankari BDA complex,Banashankari Stage II","Banashankari,Bangalore",530522,
Neela Anand,7/10/1989,Female,7016 1746 3483,Dipika Chakrabarti,"203 4th Main,4th Cross","Chamrajpet,Basavanagudi","Bangalore,530523",,
Brijesha Thaman,11/11/2018,Male,6042 6011 7592,Laxmi Chopra,"942,21st Main Road","2nd Stage,Banashankari","Bangalore,530524",,
Kanchana Aggarwal,15/01/1979,Female,4268 5920 4290,Gita Dave,"Cosmopolitan Club,Ground Floor","22nd Cross,3rd Block","Jayanagar,Bengalore",530525,
Kajal Mani,24/08/1985,Male,1769 5807 5466,Manish Nair,"12/3,Market Road","V.V.puram,Basavanagudi","Bangalore,530526",,
Kailash Solanki,11/5/2007,Male,2358 208 3342,Gobind Batta,"916,1st Stage","24th Cross Road,Kumaraswamy Layout","Bangalore,530527",,
Arundhati Saxena,26/10/1981,Female,8774 872 7274,Jeetendra Iyer,"941,3rd FLOOR","21st Main,22nd Cross","Banashankari 2nd stage,Opposite to BDA complex","Banashankari,530528",
Harishankar Pandit,2/4/2009,Female,5565 9706 90,Mohandas Nazareth,"172,Ground Floor","Near Jain College,VV Puram","Basavanagudi,Bangalore",530529,
Jayanta Lala,17/12/1970,Male,4368 4822 4355  ,Aseem Shukla,"169,Subbarama Chetty Rd","NR Colony,Basavanagudi","Bangalore,530530",,
Chiranjivi Bains,1/7/1972,Female,5401 9914 2093,Kanda-Koumarane Saxena,"4,12th Cross","Kadarenahalli,2nd Stage","Banashankari,Bangalore",530531,
Djeyam Patla,23/05/2013,Male,856 8235 3050,Indu Vala,"SM Towers,Near Cosmopolitan Club","4/3/1 & 3/2,1st Floor","11th Main,Jayanagar","Bangalore,530532",
Harshal Malhotra,16/07/2014,Female,7485 8456 5301  ,Carma Doctor,"2467,24th Cross","2nd Stage,Banashankari","Bangalore,530533",,
Aruna Walia,30/11/1979,Male,6457 9234 2837,Jeetendra Char,"126/3,Uttarahalli Main Road","Sarvabouma Nagar,Chikkalasandra","Uttarahalli,Bangalore",530534,
Mayur Kota,15/11/1983,Female,8744 6225 7502,Kavi Srinivasan,"Bengaluru,Jayanagar","Bangalore,530535",,,
Anantha Muni,16/08/2012,Male,3736 2114 504,Murali Varghese,"8,1st Cross Road","Teachers Colony,Kumaraswamy Layout","Bangalore,530536",,
Harshal Mahajan,29/03/1970,Male,1892 5015 9968  ,Devdan Bassi,"30th Cross,8th Main","Near Jain Temple,4th Block","Jayanagar,Bangalore",530537,
Nilima Sarraf,15/12/1976,Female,4953 1163 9036,Chandi Parikh,"Next to Bhagwan Mahavir Jain College,V V Puram","Basavanagudi,Bangalore",530538,,
Nitia Mane,30/11/1977,Male,7060 6884 6410  ,Inderpal Bala,"The President Hotel,79/8","Diagonal Road,3rd Block","Jayanagar,Bangalore",530539,
Chandrakanta Tak,17/07/1988,Female,8967 4181 1632,Deo Datta,"G9,Ground Floor","Lucky Paradise: Next to Tayi Jewellers,22nd Cross Rd","Jayanagar East,Jaya Nagar 1st Block","Jayanagar,Bangalore",53054
Kunala Aggarwal,25/02/2015,Female,758 7609 1892,Arjun Chaudhuri,"166/A 2nd Floor,R.V Road","Above DTDC Office,V.V Puram","Near Minerva Circle,Basavanagudi","Bangalore,530541",
Laxmi Bhavsar,20/03/2000,Male,9711 4608 9032  ,Kessavaperoumal Dave,"1112,Next to KIMS Medical College","17th Cross,2nd Stage","Banashankari,Bangalore",530542,
Lekha Murthy,24/03/1970,Female,7970 6903 1380  ,Kalika Chandran,"19/49,Near National College","2nd Main,31st Cross","7th Block,Jayanagar","Bangalore,530543",
Murugan Saini,25/03/1982,Male,9138 3178 3445  ,Niraj Wagle,"523,33rd Cross","Jayanagar,Bangalore",530544,,
Om Chand,12/3/2010,Male,7941 5991 8640  ,Krishna Malhotra,"86,Shakthi Arcade","21st Main,2nd Stage","Near KIMS College and BDA Complex,Banashankari","Bangalore,530545",
Mounoussamy Dhawan,9/4/2006,Female,5288 8198 8985,Dilipa Saha,"Near Dayananda Sagar College,Teachers Colony","Kumaraswamy Layout,Bangalore",530546,,
Kalyana Lad,6/8/1988,Male,7744 1195 0441  ,Inderjit Pillai,"406,2nd Cross","Vidyapeeta Layout,Banashankri","Bangalore,530547",,
Anila Bera,24/03/2002,Male,9310 9514 8374  ,Mahesh Goda,"199/1,Ajanaya Bhavana","100 Feet Ring Road,Kathriguppe","Banashankari,Bangalore",530548,
Cooldeepac Saini,11/6/2015,Female,5696 7861 2370  ,Amrit Varkey,"266/B,7th Block","Jayanagar,Bangalore",530549,,
Chander Madan,21/10/2007,Male,1904 8700 7126,Madhuri Parsa,"Shop 66/1,4th Block","Near Maiys Hotel,33rd Cross Road","Jayanagar,Bangalore",530550,
Harshal Mody,2/4/2000,Female,9975 2782 4439  ,Nilima Gopal,"1795,Near Police Station","13th Main,Kumaraswamy Layout","Bangalore,530551",,
Bakula Patil,1/3/2004,Male,1814 1311 2619,Brijesh Dave,"42,Vani Vilas Road","Ramakrishna Ashrama Circle,Basavanagudi","Bangalore,530552",,
Carma Vig,21/02/1977,Female,8218 3308 9396,Gopika Behl,"83/1,50 Feet Main Road","Goviayanahallo,Kumaraswamy Layout","Bangalore,530553",,
Madhukar Meka,16/04/1987,Male,7349 9248 2021,Neha Anand,"89,Behind Venkateshwara Bar","Near PES College,1st Stage","Banashankari,Bangalore",530554,
Mukta Sankaran,22/02/1974,Male,8182 0007 9583  ,Gobind Kuruvilla,"1,Monotype","2nd Stage,Banashankari","Bangalore,530555",,
Gopala Chadha,1/2/1972,Female,8428 6767 2024,Narayan Mangal,"47,48 &49","3Rd Floor,21st Main Road","2nd Stage,Banashankari","Bangalore,530556",
Madhukar Bala,3/9/2001,Female,1715 8751 5774,Bharat Chakrabarti,"17,Gandhi Bazaar Main Road","Basavanagudi,Bangalore",530557,,
Gautam Sandal,18/03/2000,Female,5790 1114 6731,Bagavathy Seth,"6th Block,3rd Stage","Banashankari,Bangalore",530558,,
Amar Subramanian,18/10/1992,Male,5211 6377 407,Devdan Grover,"48,2nd Cross","Jananeshwari Layout,Thindlu","Vidyaranyapura Post,Basavanagudi","Bangalore.,530559",
Madhu Manne,25/05/1995,Male,7525 5903 3003,Anil Mahal,"101,Ground Floor","Manjunatha Complex,22nd Main Road","2nd Stage,Banashankari","Bangalore,530560",
Kajal Verma,14/02/2011,Male,3518 823 8160,Madhavi Ganesan,"160,Gandhi Bazar Main Road","Basavanagudi,Bangalore",530561,,
Nila Sahota,26/07/1993,Female,4346 4780 9115,Devaki Garg,"808/6-1,24th A Cross","K.R Road,2nd Stage","Banashankari,Bangalore",530562,
Harsha Soman,24/04/2016,Male,6487 555 8940,Madhuri Dora,"43,BDA Complex","2nd Stage,Banashankari","Bangalore,530563",,
Nalini Pal,7/8/1974,Male,9880 9128 5110  ,Nithya Meda,"18,B K Complex","Opposite To BDA Complex,21st","Main Road,2nd Stage","Banashankari,Bangalore",53056
Kalyana-ShraddhÃƒÂ¢ Mukherjee,6/6/1981,Male,4068 61 8883,Aparajita Divan,"416,24th Cross","9th Main,2nd Stage","Banashankari,Bangalore",530565,
Lavanya Goel,31/07/1972,Female,2601 4269 4831  ,Aditi Boase,"295/B,7th Main Road","100 Feet Ring Road,7th Block","3rd Stage,Banashankari","Bangalore,530566",
Dipti Rattan,21/07/2020,Female,9104 0642 3561  ,Ganesha Kaur,"57/18,12th Main","Opposite PES College,Banashankari","Bangalore,530567",,
